Month,Zipcode,Crime rate per 1000
01/2018,85001,5.17
02/2018,85001,4.55
03/2018,85001,4.63
04/2018,85001,4.92
05/2018,85001,5.01
06/2018,85001,4.61
07/2018,85001,4.84
08/2018,85001,4.83
09/2018,85001,4.78
10/2018,85001,4.97
11/2018,85001,4.63
12/2018,85001,4.73
01/2019,85001,4.74
02/2019,85001,4.16
03/2019,85001,4.58
04/2019,85001,4.64
05/2019,85001,5.01
06/2019,85001,4.82
07/2019,85001,4.8
08/2019,85001,4.9
09/2019,85001,4.7
10/2019,85001,4.87
11/2019,85001,4.6
12/2019,85001,4.94
01/2020,85001,5.02
02/2020,85001,0.19
03/2020,85001,4.89
04/2020,85001,4.78
05/2020,85001,4.89
06/2020,85001,4.18
07/2020,85001,4.15
08/2020,85001,4.58
09/2020,85001,4.39
10/2020,85001,4.89
11/2020,85001,4.8
12/2020,85001,4.95
01/2021,85001,4.83
02/2021,85001,4.73
03/2021,85001,4.83
04/2021,85001,4.32
05/2021,85001,4.67
06/2021,85001,4.54
07/2021,85001,4.77
08/2021,85001,4.93
09/2021,85001,4.96
10/2021,85001,4.91
11/2021,85001,4.72
12/2021,85001,4.65
01/2022,85001,4.84
02/2022,85001,4.32
03/2022,85001,4.86
04/2022,85001,4.72
05/2022,85001,4.85
06/2022,85001,4.47
07/2022,85001,4.37
08/2022,85001,4.42
09/2022,85001,4.33
10/2022,85001,4.38
11/2022,85001,3.92
12/2022,85001,4.16
01/2023,85001,4.21
02/2023,85001,3.72
03/2023,85001,4.08
04/2023,85001,4.02
05/2023,85001,4.24
06/2023,85001,3.95
07/2023,85001,3.98
08/2023,85001,4.1
09/2023,85001,4.12
10/2023,85001,4.09
11/2023,85001,4.02
12/2023,85001,3.89
01/2018,85002,5.17
02/2018,85002,4.55
03/2018,85002,4.63
04/2018,85002,4.92
05/2018,85002,5.01
06/2018,85002,4.61
07/2018,85002,4.84
08/2018,85002,4.83
09/2018,85002,4.78
10/2018,85002,4.97
11/2018,85002,4.63
12/2018,85002,4.73
01/2019,85002,4.74
02/2019,85002,4.16
03/2019,85002,4.58
04/2019,85002,4.64
05/2019,85002,5.01
06/2019,85002,4.82
07/2019,85002,4.8
08/2019,85002,4.9
09/2019,85002,4.7
10/2019,85002,4.87
11/2019,85002,4.6
12/2019,85002,4.94
01/2020,85002,5.02
02/2020,85002,0.19
03/2020,85002,4.89
04/2020,85002,4.78
05/2020,85002,4.89
06/2020,85002,4.18
07/2020,85002,4.15
08/2020,85002,4.58
09/2020,85002,4.39
10/2020,85002,4.89
11/2020,85002,4.8
12/2020,85002,4.95
01/2021,85002,4.83
02/2021,85002,4.73
03/2021,85002,4.83
04/2021,85002,4.32
05/2021,85002,4.67
06/2021,85002,4.54
07/2021,85002,4.77
08/2021,85002,4.93
09/2021,85002,4.96
10/2021,85002,4.91
11/2021,85002,4.72
12/2021,85002,4.65
01/2022,85002,4.84
02/2022,85002,4.32
03/2022,85002,4.86
04/2022,85002,4.72
05/2022,85002,4.85
06/2022,85002,4.47
07/2022,85002,4.37
08/2022,85002,4.42
09/2022,85002,4.33
10/2022,85002,4.38
11/2022,85002,3.92
12/2022,85002,4.16
01/2023,85002,4.21
02/2023,85002,3.72
03/2023,85002,4.08
04/2023,85002,4.02
05/2023,85002,4.24
06/2023,85002,3.95
07/2023,85002,3.98
08/2023,85002,4.1
09/2023,85002,4.12
10/2023,85002,4.09
11/2023,85002,4.02
12/2023,85002,3.89
01/2018,85003,5.17
02/2018,85003,4.55
03/2018,85003,4.63
04/2018,85003,4.92
05/2018,85003,5.01
06/2018,85003,4.61
07/2018,85003,4.84
08/2018,85003,4.83
09/2018,85003,4.78
10/2018,85003,4.97
11/2018,85003,4.63
12/2018,85003,4.73
01/2019,85003,4.74
02/2019,85003,4.16
03/2019,85003,4.58
04/2019,85003,4.64
05/2019,85003,5.01
06/2019,85003,4.82
07/2019,85003,4.8
08/2019,85003,4.9
09/2019,85003,4.7
10/2019,85003,4.87
11/2019,85003,4.6
12/2019,85003,4.94
01/2020,85003,5.02
02/2020,85003,0.19
03/2020,85003,4.89
04/2020,85003,4.78
05/2020,85003,4.89
06/2020,85003,4.18
07/2020,85003,4.15
08/2020,85003,4.58
09/2020,85003,4.39
10/2020,85003,4.89
11/2020,85003,4.8
12/2020,85003,4.95
01/2021,85003,4.83
02/2021,85003,4.73
03/2021,85003,4.83
04/2021,85003,4.32
05/2021,85003,4.67
06/2021,85003,4.54
07/2021,85003,4.77
08/2021,85003,4.93
09/2021,85003,4.96
10/2021,85003,4.91
11/2021,85003,4.72
12/2021,85003,4.65
01/2022,85003,4.84
02/2022,85003,4.32
03/2022,85003,4.86
04/2022,85003,4.72
05/2022,85003,4.85
06/2022,85003,4.47
07/2022,85003,4.37
08/2022,85003,4.42
09/2022,85003,4.33
10/2022,85003,4.38
11/2022,85003,3.92
12/2022,85003,4.16
01/2023,85003,4.21
02/2023,85003,3.72
03/2023,85003,4.08
04/2023,85003,4.02
05/2023,85003,4.24
06/2023,85003,3.95
07/2023,85003,3.98
08/2023,85003,4.1
09/2023,85003,4.12
10/2023,85003,4.09
11/2023,85003,4.02
12/2023,85003,3.89
01/2018,85004,5.17
02/2018,85004,4.55
03/2018,85004,4.63
04/2018,85004,4.92
05/2018,85004,5.01
06/2018,85004,4.61
07/2018,85004,4.84
08/2018,85004,4.83
09/2018,85004,4.78
10/2018,85004,4.97
11/2018,85004,4.63
12/2018,85004,4.73
01/2019,85004,4.74
02/2019,85004,4.16
03/2019,85004,4.58
04/2019,85004,4.64
05/2019,85004,5.01
06/2019,85004,4.82
07/2019,85004,4.8
08/2019,85004,4.9
09/2019,85004,4.7
10/2019,85004,4.87
11/2019,85004,4.6
12/2019,85004,4.94
01/2020,85004,5.02
02/2020,85004,0.19
03/2020,85004,4.89
04/2020,85004,4.78
05/2020,85004,4.89
06/2020,85004,4.18
07/2020,85004,4.15
08/2020,85004,4.58
09/2020,85004,4.39
10/2020,85004,4.89
11/2020,85004,4.8
12/2020,85004,4.95
01/2021,85004,4.83
02/2021,85004,4.73
03/2021,85004,4.83
04/2021,85004,4.32
05/2021,85004,4.67
06/2021,85004,4.54
07/2021,85004,4.77
08/2021,85004,4.93
09/2021,85004,4.96
10/2021,85004,4.91
11/2021,85004,4.72
12/2021,85004,4.65
01/2022,85004,4.84
02/2022,85004,4.32
03/2022,85004,4.86
04/2022,85004,4.72
05/2022,85004,4.85
06/2022,85004,4.47
07/2022,85004,4.37
08/2022,85004,4.42
09/2022,85004,4.33
10/2022,85004,4.38
11/2022,85004,3.92
12/2022,85004,4.16
01/2023,85004,4.21
02/2023,85004,3.72
03/2023,85004,4.08
