Zipcode,Year,Crime rate per 1000
85001,2018,57.67
85001,2019,56.76
85001,2020,51.71
85001,2021,56.86
85001,2022,53.64
85001,2023,48.42
85002,2018,57.67
85002,2019,56.76
85002,2020,51.71
85002,2021,56.86
85002,2022,53.64
85002,2023,48.42
85003,2018,57.67
85003,2019,56.76
85003,2020,51.71
85003,2021,56.86
85003,2022,53.64
85003,2023,48.42
85004,2018,57.67
85004,2019,56.76
85004,2020,51.71
85004,2021,56.86
85004,2022,53.64
85004,2023,48.42
85005,2018,57.67
85005,2019,56.76
85005,2020,51.71
85005,2021,56.86
85005,2022,53.64
85005,2023,48.42
85006,2018,57.67
85006,2019,56.76
85006,2020,51.71
85006,2021,56.86
85006,2022,53.64
85006,2023,48.42
85007,2018,57.67
85007,2019,56.76
85007,2020,51.71
85007,2021,56.86
85007,2022,53.64
85007,2023,48.42
85008,2018,57.67
85008,2019,56.76
85008,2020,51.71
85008,2021,56.86
85008,2022,53.64
85008,2023,48.42
85009,2018,57.67
85009,2019,56.76
85009,2020,51.71
85009,2021,56.86
85009,2022,53.64
85009,2023,48.42
85010,2018,57.67
85010,2019,56.76
85010,2020,51.71
85010,2021,56.86
85010,2022,53.64
85010,2023,48.42
85011,2018,57.67
85011,2019,56.76
85011,2020,51.71
85011,2021,56.86
85011,2022,53.64
85011,2023,48.42
85012,2018,57.67
85012,2019,56.76
85012,2020,51.71
85012,2021,56.86
85012,2022,53.64
85012,2023,48.42
85013,2018,57.67
85013,2019,56.76
85013,2020,51.71
85013,2021,56.86
85013,2022,53.64
85013,2023,48.42
85014,2018,57.67
85014,2019,56.76
85014,2020,51.71
85014,2021,56.86
85014,2022,53.64
85014,2023,48.42
85015,2018,57.67
85015,2019,56.76
85015,2020,51.71
85015,2021,56.86
85015,2022,53.64
85015,2023,48.42
85016,2018,57.67
85016,2019,56.76
85016,2020,51.71
85016,2021,56.86
85016,2022,53.64
85016,2023,48.42
85017,2018,57.67
85017,2019,56.76
85017,2020,51.71
85017,2021,56.86
85017,2022,53.64
85017,2023,48.42
85018,2018,57.67
85018,2019,56.76
85018,2020,51.71
85018,2021,56.86
85018,2022,53.64
85018,2023,48.42
85019,2018,57.67
85019,2019,56.76
85019,2020,51.71
85019,2021,56.86
85019,2022,53.64
85019,2023,48.42
85020,2018,57.67
85020,2019,56.76
85020,2020,51.71
85020,2021,56.86
85020,2022,53.64
85020,2023,48.42
85021,2018,57.67
85021,2019,56.76
85021,2020,51.71
85021,2021,56.86
85021,2022,53.64
85021,2023,48.42
85022,2018,57.67
85022,2019,56.76
85022,2020,51.71
85022,2021,56.86
85022,2022,53.64
85022,2023,48.42
85023,2018,57.67
85023,2019,56.76
85023,2020,51.71
85023,2021,56.86
85023,2022,53.64
85023,2023,48.42
85024,2018,57.67
85024,2019,56.76
85024,2020,51.71
85024,2021,56.86
85024,2022,53.64
85024,2023,48.42
85025,2018,55.56
85025,2019,54.57
85025,2020,49.62
85025,2021,54.65
85025,2022,51.74
85025,2023,46.73
85026,2018,57.67
85026,2019,56.76
85026,2020,51.71
85026,2021,56.86
85026,2022,53.64
85026,2023,48.42
85027,2018,57.67
85027,2019,56.76
85027,2020,51.71
85027,2021,56.86
85027,2022,53.64
85027,2023,48.42
85028,2018,57.67
85028,2019,56.76
85028,2020,51.71
85028,2021,56.86
85028,2022,53.64
85028,2023,48.42
85029,2018,57.67
85029,2019,56.76
85029,2020,51.71
85029,2021,56.86
85029,2022,53.64
85029,2023,48.42
85030,2018,57.67
85030,2019,56.76
85030,2020,51.71
85030,2021,56.86
85030,2022,53.64
85030,2023,48.42
85031,2018,57.67
85031,2019,56.76
85031,2020,51.71
85031,2021,56.86
85031,2022,53.64
85031,2023,48.42
85032,2018,57.67
85032,2019,56.76
85032,2020,51.71
85032,2021,56.86
85032,2022,53.64
85032,2023,48.42
85033,2018,57.67
85033,2019,56.76
85033,2020,51.71
85033,2021,56.86
85033,2022,53.64
85033,2023,48.42
85034,2018,57.67
85034,2019,56.76
85034,2020,51.71
85034,2021,56.86
85034,2022,53.64
85034,2023,48.42
85035,2018,57.67
85035,2019,56.76
85035,2020,51.71
85035,2021,56.86
85035,2022,53.64
85035,2023,48.42
85036,2018,57.67
85036,2019,56.76
85036,2020,51.71
85036,2021,56.86
85036,2022,53.64
85036,2023,48.42
85037,2018,57.67
85037,2019,56.76
85037,2020,51.71
85037,2021,56.86
85037,2022,53.64
85037,2023,48.42
85038,2018,57.67
85038,2019,56.76
