Month,Zipcode,Crime rate per 1000
01/2018,85117,2.92
01/2018,85118,2.92
01/2018,85119,2.92
01/2018,85120,2.92
01/2018,85178,2.92
02/2018,85117,2.6
02/2018,85118,2.6
02/2018,85119,2.6
02/2018,85120,2.6
02/2018,85178,2.6
03/2018,85117,2.52
03/2018,85118,2.52
03/2018,85119,2.52
03/2018,85120,2.52
03/2018,85178,2.52
04/2018,85117,2.87
04/2018,85118,2.87
04/2018,85119,2.87
04/2018,85120,2.87
04/2018,85178,2.87
05/2018,85117,2.42
05/2018,85118,2.42
05/2018,85119,2.42
05/2018,85120,2.42
05/2018,85178,2.42
06/2018,85117,2.92
06/2018,85118,2.92
06/2018,85119,2.92
06/2018,85120,2.92
06/2018,85178,2.92
07/2018,85117,3.33
07/2018,85118,3.33
07/2018,85119,3.33
07/2018,85120,3.33
07/2018,85178,3.33
08/2018,85117,2.75
08/2018,85118,2.75
08/2018,85119,2.75
08/2018,85120,2.75
08/2018,85178,2.75
09/2018,85117,2.6
09/2018,85118,2.6
09/2018,85119,2.6
09/2018,85120,2.6
09/2018,85178,2.6
10/2018,85117,2.22
10/2018,85118,2.22
10/2018,85119,2.22
10/2018,85120,2.22
10/2018,85178,2.22
11/2018,85117,2.04
11/2018,85118,2.04
11/2018,85119,2.04
11/2018,85120,2.04
11/2018,85178,2.04
12/2018,85117,1.76
12/2018,85118,1.76
12/2018,85119,1.76
12/2018,85120,1.76
12/2018,85178,1.76
01/2019,85117,2.51
01/2019,85118,2.51
01/2019,85119,2.51
01/2019,85120,2.51
01/2019,85178,2.51
02/2019,85117,4.31
02/2019,85118,4.31
02/2019,85119,4.31
02/2019,85120,4.31
02/2019,85178,4.31
03/2019,85117,3.35
03/2019,85118,3.35
03/2019,85119,3.35
03/2019,85120,3.35
03/2019,85178,3.35
04/2019,85117,2.59
04/2019,85118,2.59
04/2019,85119,2.59
04/2019,85120,2.59
04/2019,85178,2.59
05/2019,85117,2.36
05/2019,85118,2.36
05/2019,85119,2.36
05/2019,85120,2.36
05/2019,85178,2.36
06/2019,85117,2.46
06/2019,85118,2.46
06/2019,85119,2.46
06/2019,85120,2.46
06/2019,85178,2.46
07/2019,85117,2.34
07/2019,85118,2.34
07/2019,85119,2.34
07/2019,85120,2.34
07/2019,85178,2.34
08/2019,85117,2.04
08/2019,85118,2.04
08/2019,85119,2.04
08/2019,85120,2.04
08/2019,85178,2.04
09/2019,85117,2.73
09/2019,85118,2.73
09/2019,85119,2.73
09/2019,85120,2.73
09/2019,85178,2.73
10/2019,85117,2.32
10/2019,85118,2.32
10/2019,85119,2.32
10/2019,85120,2.32
10/2019,85178,2.32
11/2019,85117,3.23
11/2019,85118,3.23
11/2019,85119,3.23
11/2019,85120,3.23
11/2019,85178,3.23
12/2019,85117,2.71
12/2019,85118,2.71
12/2019,85119,2.71
12/2019,85120,2.71
12/2019,85178,2.71
01/2020,85117,2.91
01/2020,85118,2.91
01/2020,85119,2.91
01/2020,85120,2.91
01/2020,85178,2.91
