Month,Zipcode,Crime rate per 1000
01/2018,04001,0.29
01/2018,85920,0.29
01/2018,85924,0.29
01/2018,85925,0.29
01/2018,85927,0.29
01/2018,85930,0.29
01/2018,85932,0.29
01/2018,85936,0.29
01/2018,85938,0.29
01/2018,85940,0.29
01/2018,86028,0.29
01/2018,86502,0.29
01/2018,86503,0.29
01/2018,86504,0.29
01/2018,86505,0.29
01/2018,86506,0.29
01/2018,86507,0.29
01/2018,86508,0.29
01/2018,86511,0.29
01/2018,86512,0.29
01/2018,86514,0.29
01/2018,86515,0.29
01/2018,86535,0.29
01/2018,86538,0.29
01/2018,86540,0.29
01/2018,86544,0.29
01/2018,86545,0.29
01/2018,86547,0.29
01/2018,86556,0.29
02/2018,04001,0.29
02/2018,85920,0.29
02/2018,85924,0.29
02/2018,85925,0.29
02/2018,85927,0.29
02/2018,85930,0.29
02/2018,85932,0.29
02/2018,85936,0.29
02/2018,85938,0.29
02/2018,85940,0.29
02/2018,86028,0.29
02/2018,86502,0.29
02/2018,86503,0.29
02/2018,86504,0.29
02/2018,86505,0.29
02/2018,86506,0.29
02/2018,86507,0.29
02/2018,86508,0.29
02/2018,86511,0.29
02/2018,86512,0.29
02/2018,86514,0.29
02/2018,86515,0.29
02/2018,86535,0.29
02/2018,86538,0.29
02/2018,86540,0.29
02/2018,86544,0.29
02/2018,86545,0.29
02/2018,86547,0.29
02/2018,86556,0.29
03/2018,04001,0.28
03/2018,85920,0.28
03/2018,85924,0.28
03/2018,85925,0.28
03/2018,85927,0.28
03/2018,85930,0.28
03/2018,85932,0.28
03/2018,85936,0.28
03/2018,85938,0.28
03/2018,85940,0.28
03/2018,86028,0.28
03/2018,86502,0.28
03/2018,86503,0.28
03/2018,86504,0.28
03/2018,86505,0.28
03/2018,86506,0.28
03/2018,86507,0.28
03/2018,86508,0.28
03/2018,86511,0.28
03/2018,86512,0.28
03/2018,86514,0.28
03/2018,86515,0.28
03/2018,86535,0.28
03/2018,86538,0.28
03/2018,86540,0.28
03/2018,86544,0.28
03/2018,86545,0.28
03/2018,86547,0.28
03/2018,86556,0.28
04/2018,04001,0.26
04/2018,85920,0.26
04/2018,85924,0.26
04/2018,85925,0.26
04/2018,85927,0.26
04/2018,85930,0.26
04/2018,85932,0.26
04/2018,85936,0.26
04/2018,85938,0.26
04/2018,85940,0.26
04/2018,86028,0.26
04/2018,86502,0.26
04/2018,86503,0.26
04/2018,86504,0.26
04/2018,86505,0.26
04/2018,86506,0.26
04/2018,86507,0.26
04/2018,86508,0.26
04/2018,86511,0.26
04/2018,86512,0.26
04/2018,86514,0.26
04/2018,86515,0.26
04/2018,86535,0.26
04/2018,86538,0.26
04/2018,86540,0.26
04/2018,86544,0.26
04/2018,86545,0.26
04/2018,86547,0.26
04/2018,86556,0.26
05/2018,04001,N/A
05/2018,85920,N/A
05/2018,85924,N/A
05/2018,85925,N/A
05/2018,85927,N/A
05/2018,85930,N/A
05/2018,85932,N/A
05/2018,85936,N/A
05/2018,85938,N/A
05/2018,85940,N/A
05/2018,86028,N/A
05/2018,86502,N/A
05/2018,86503,N/A
05/2018,86504,N/A
05/2018,86505,N/A
05/2018,86506,N/A
05/2018,86507,N/A
05/2018,86508,N/A
05/2018,86511,N/A
05/2018,86512,N/A
05/2018,86514,N/A
05/2018,86515,N/A
05/2018,86535,N/A
05/2018,86538,N/A
05/2018,86540,N/A
05/2018,86544,N/A
05/2018,86545,N/A
05/2018,86547,N/A
05/2018,86556,N/A
06/2018,04001,0.25
06/2018,85920,0.25
06/2018,85924,0.25
06/2018,85925,0.25
06/2018,85927,0.25
06/2018,85930,0.25
06/2018,85932,0.25
06/2018,85936,0.25
06/2018,85938,0.25
06/2018,85940,0.25
06/2018,86028,0.25
06/2018,86502,0.25
06/2018,86503,0.25
06/2018,86504,0.25
06/2018,86505,0.25
06/2018,86506,0.25
06/2018,86507,0.25
06/2018,86508,0.25
06/2018,86511,0.25
06/2018,86512,0.25
06/2018,86514,0.25
06/2018,86515,0.25
06/2018,86535,0.25
06/2018,86538,0.25
06/2018,86540,0.25
06/2018,86544,0.25
06/2018,86545,0.25
06/2018,86547,0.25
06/2018,86556,0.25
07/2018,04001,0.31
07/2018,85920,0.31
07/2018,85924,0.31
07/2018,85925,0.31
07/2018,85927,0.31
07/2018,85930,0.31
07/2018,85932,0.31
07/2018,85936,0.31
07/2018,85938,0.31
07/2018,85940,0.31
07/2018,86028,0.31
07/2018,86502,0.31
07/2018,86503,0.31
07/2018,86504,0.31
07/2018,86505,0.31
07/2018,86506,0.31
07/2018,86507,0.31
07/2018,86508,0.31
07/2018,86511,0.31
07/2018,86512,0.31
07/2018,86514,0.31
07/2018,86515,0.31
07/2018,86535,0.31
07/2018,86538,0.31
07/2018,86540,0.31
07/2018,86544,0.31
07/2018,86545,0.31
07/2018,86547,0.31
07/2018,86556,0.31
08/2018,04001,N/A
08/2018,85920,N/A
08/2018,85924,N/A
08/2018,85925,N/A
08/2018,85927,N/A
08/2018,85930,N/A
08/2018,85932,N/A
08/2018,85936,N/A
08/2018,85938,N/A
08/2018,85940,N/A
08/2018,86028,N/A
08/2018,86502,N/A
08/2018,86503,N/A
08/2018,86504,N/A
08/2018,86505,N/A
08/2018,86506,N/A
08/2018,86507,N/A
08/2018,86508,N/A
08/2018,86511,N/A
08/2018,86512,N/A
08/2018,86514,N/A
08/2018,86515,N/A
08/2018,86535,N/A
08/2018,86538,N/A
08/2018,86540,N/A
08/2018,86544,N/A
08/2018,86545,N/A
08/2018,86547,N/A
08/2018,86556,N/A
09/2018,04001,0.36
09/2018,85920,0.36
09/2018,85924,0.36
09/2018,85925,0.36
09/2018,85927,0.36
09/2018,85930,0.36
09/2018,85932,0.36
09/2018,85936,0.36
09/2018,85938,0.36
09/2018,85940,0.36
09/2018,86028,0.36
09/2018,86502,0.36
09/2018,86503,0.36
09/2018,86504,0.36
09/2018,86505,0.36
09/2018,86506,0.36
09/2018,86507,0.36
09/2018,86508,0.36
09/2018,86511,0.36
09/2018,86512,0.36
09/2018,86514,0.36
09/2018,86515,0.36
09/2018,86535,0.36
09/2018,86538,0.36
09/2018,86540,0.36
09/2018,86544,0.36
09/2018,86545,0.36
09/2018,86547,0.36
09/2018,86556,0.36
10/2018,04001,N/A
10/2018,85920,N/A
10/2018,85924,N/A
10/2018,85925,N/A
10/2018,85927,N/A
10/2018,85930,N/A
10/2018,85932,N/A
10/2018,85936,N/A
10/2018,85938,N/A
10/2018,85940,N/A
10/2018,86028,N/A
10/2018,86502,N/A
10/2018,86503,N/A
10/2018,86504,N/A
10/2018,86505,N/A
10/2018,86506,N/A
10/2018,86507,N/A
10/2018,86508,N/A
10/2018,86511,N/A
10/2018,86512,N/A
10/2018,86514,N/A
10/2018,86515,N/A
10/2018,86535,N/A
10/2018,86538,N/A
10/2018,86540,N/A
10/2018,86544,N/A
10/2018,86545,N/A
