month/year,zip,median_income,crime_rate_per_1000,business_count,ZHVI
01/2018,85001,N/A,5.17,N/A,N/A
02/2018,85001,N/A,4.55,N/A,N/A
03/2018,85001,N/A,4.63,N/A,N/A
04/2018,85001,N/A,4.92,N/A,N/A
05/2018,85001,N/A,5.01,N/A,N/A
06/2018,85001,N/A,4.61,N/A,N/A
07/2018,85001,N/A,4.84,N/A,N/A
08/2018,85001,N/A,4.83,N/A,N/A
09/2018,85001,N/A,4.78,N/A,N/A
10/2018,85001,N/A,4.97,N/A,N/A
11/2018,85001,N/A,4.63,N/A,N/A
12/2018,85001,N/A,4.73,N/A,N/A
01/2019,85001,N/A,4.74,N/A,N/A
02/2019,85001,N/A,4.16,N/A,N/A
03/2019,85001,N/A,4.58,N/A,N/A
04/2019,85001,N/A,4.64,N/A,N/A
05/2019,85001,N/A,5.01,N/A,N/A
06/2019,85001,N/A,4.82,N/A,N/A
07/2019,85001,N/A,4.8,N/A,N/A
08/2019,85001,N/A,4.9,N/A,N/A
09/2019,85001,N/A,4.7,N/A,N/A
10/2019,85001,N/A,4.87,N/A,N/A
11/2019,85001,N/A,4.6,N/A,N/A
12/2019,85001,N/A,4.94,N/A,N/A
01/2020,85001,N/A,5.02,N/A,N/A
02/2020,85001,N/A,0.19,N/A,N/A
03/2020,85001,N/A,4.89,N/A,N/A
04/2020,85001,N/A,4.78,N/A,N/A
05/2020,85001,N/A,4.89,N/A,N/A
06/2020,85001,N/A,4.18,N/A,N/A
07/2020,85001,N/A,4.15,N/A,N/A
08/2020,85001,N/A,4.58,N/A,N/A
09/2020,85001,N/A,4.39,N/A,N/A
10/2020,85001,N/A,4.89,N/A,N/A
11/2020,85001,N/A,4.8,N/A,N/A
12/2020,85001,N/A,4.95,N/A,N/A
01/2021,85001,N/A,4.83,N/A,N/A
02/2021,85001,N/A,4.73,N/A,N/A
03/2021,85001,N/A,4.83,N/A,N/A
04/2021,85001,N/A,4.32,N/A,N/A
05/2021,85001,N/A,4.67,N/A,N/A
06/2021,85001,N/A,4.54,N/A,N/A
