postal_code,year,business_count
00802,2008,1
01903,2012,1
01940,2011,1
05201,2015,1
07740,2020,1
07836,2008,1
07882,2014,1
08001,2009,1
08001,2010,1
08002,2006,8
08002,2007,16
08002,2008,26
08002,2009,32
08002,2010,43
08002,2011,60
08002,2012,41
08002,2013,41
08002,2014,46
08002,2015,32
08002,2016,26
08002,2017,26
08002,2018,23
08002,2019,16
08002,2020,7
08002,2021,4
08003,2006,4
08003,2007,9
08003,2008,9
08003,2009,17
08003,2010,16
08003,2011,26
08003,2012,21
08003,2013,25
08003,2014,17
08003,2015,31
08003,2016,20
08003,2017,16
08003,2018,11
08003,2019,6
08003,2020,3
08003,2021,4
08004,2010,4
08004,2011,6
08004,2012,1
08004,2014,3
08004,2015,2
08004,2016,3
08004,2018,3
08004,2021,1
08005,2016,1
08007,2006,1
08007,2009,1
08007,2010,2
08007,2012,4
08007,2013,5
08007,2014,1
08007,2015,3
08007,2016,4
08007,2017,3
08007,2018,5
08007,2020,3
08007,2021,1
08009,2007,1
08009,2008,4
08009,2009,3
08009,2010,8
08009,2011,4
08009,2012,14
08009,2013,8
08009,2014,15
08009,2015,9
08009,2016,10
08009,2017,9
08009,2018,4
08009,2019,1
08009,2020,2
08009,2021,3
08010,2008,1
08010,2010,3
08010,2011,1
08010,2012,2
08010,2013,2
08010,2014,5
08010,2015,2
08010,2016,4
08010,2017,1
08010,2019,1
08010,2020,1
08010,2021,1
08012,2006,4
08012,2007,5
08012,2008,5
08012,2009,13
08012,2010,19
08012,2011,34
08012,2012,28
08012,2013,31
08012,2014,35
08012,2015,44
08012,2016,21
08012,2017,17
08012,2018,12
08012,2019,10
08012,2020,4
08012,2021,5
08014,2012,1
08014,2013,1
08016,2006,1
08016,2007,2
08016,2008,15
08016,2009,17
08016,2010,25
08016,2011,15
08016,2012,13
08016,2013,18
08016,2014,20
08016,2015,21
08016,2016,12
08016,2017,9
08016,2018,6
08016,2019,3
08016,2020,4
08016,2021,3
08018,2011,2
08018,2012,1
08018,2018,1
08020,2008,1
08020,2010,1
08020,2012,1
08020,2013,1
08020,2014,1
08020,2016,2
08020,2017,2
08020,2018,1
08020,2019,1
08021,2006,3
08021,2007,6
08021,2008,5
08021,2009,5
08021,2010,8
08021,2011,14
08021,2012,19
08021,2013,34
08021,2014,24
08021,2015,20
08021,2016,18
08021,2017,18
08021,2018,7
08021,2019,6
08021,2021,3
08022,2009,3
08022,2010,3
08022,2011,6
08022,2012,6
08022,2013,4
08022,2014,5
08022,2015,4
08022,2016,3
08022,2017,2
08022,2019,1
08022,2021,1
08026,2007,1
08026,2008,1
08026,2010,1
08026,2011,2
08026,2012,2
08026,2013,4
08026,2014,3
08026,2015,2
08026,2016,1
08026,2021,1
08027,2010,1
08027,2011,1
08027,2012,7
08027,2015,1
08027,2021,2
08028,2006,1
08028,2007,5
08028,2008,4
08028,2009,4
08028,2010,6
08028,2011,3
08028,2012,15
08028,2013,16
08028,2014,13
08028,2015,22
08028,2016,16
08028,2017,6
08028,2018,11
08028,2019,13
08028,2020,4
08028,2021,2
08029,2006,1
08029,2010,1
08029,2011,4
08029,2012,2
08029,2013,1
08029,2014,5
08029,2015,1
08029,2016,2
08029,2017,4
08029,2018,1
08029,2019,2
08029,2020,1
08030,2008,4
08030,2009,2
08030,2010,3
08030,2011,6
08030,2012,7
08030,2013,9
08030,2014,4
08030,2015,4
08030,2016,4
08030,2017,4
08030,2018,6
08030,2019,1
08030,2020,1
08030,2021,1
08031,2008,2
08031,2009,6
08031,2010,6
08031,2011,5
08031,2012,5
08031,2013,4
08031,2014,9
08031,2015,4
08031,2016,6
08031,2017,2
08031,2018,4
08031,2019,2
08032,2014,1
08032,2016,1
08033,2006,3
08033,2007,7
08033,2008,10
08033,2009,17
08033,2010,26
08033,2011,17
08033,2012,13
08033,2013,16
08033,2014,15
08033,2015,12
08033,2016,11
08033,2017,13
08033,2018,9
08033,2019,6
08033,2020,5
08033,2021,6
08034,2006,4
08034,2007,10
08034,2008,12
08034,2009,12
08034,2010,22
08034,2011,35
08034,2012,32
08034,2013,37
08034,2014,22
08034,2015,29
08034,2016,17
08034,2017,18
08034,2018,8
08034,2019,8
08034,2020,7
08034,2021,7
08035,2007,1
08035,2008,2
08035,2009,3
08035,2010,7
08035,2011,4
08035,2012,6
08035,2013,2
08035,2014,6
08035,2015,6
08035,2016,4
08035,2017,4
08035,2018,4
08035,2019,2
08035,2020,2
08035,2021,1
08036,2008,1
08036,2009,3
08036,2010,9
08036,2011,4
08036,2012,3
08036,2013,9
08036,2014,6
08036,2015,8
08036,2016,2
08036,2017,3
08036,2018,2
08036,2019,2
08036,2021,1
08037,2008,1
08037,2009,3
08037,2010,3
08037,2012,2
08037,2013,2
08037,2014,3
08037,2015,1
08037,2016,5
08037,2017,1
08037,2018,2
08037,2019,1
08037,2020,1
08041,2013,1
08041,2014,1
08041,2018,1
08043,2006,3
08043,2007,8
08043,2008,15
08043,2009,17
08043,2010,24
08043,2011,36
08043,2012,38
08043,2013,38
08043,2014,37
08043,2015,29
08043,2016,26
08043,2017,19
08043,2018,9
08043,2019,8
08043,2020,6
08043,2021,1
08045,2010,1
08045,2011,3
08045,2012,5
08045,2013,3
08045,2014,2
08045,2015,1
08045,2016,2
08045,2017,1
08046,2008,4
08046,2009,2
08046,2010,7
08046,2011,7
08046,2012,8
08046,2013,6
08046,2014,7
08046,2015,9
08046,2016,6
08046,2017,2
08046,2018,3
08046,2019,3
08046,2020,2
08046,2021,1
08048,2007,2
08048,2009,1
08048,2010,4
08048,2011,2
08048,2012,4
08048,2013,10
08048,2014,15
08048,2015,7
08048,2016,4
08048,2017,2
08048,2018,3
08048,2019,4
08048,2020,1
08048,2021,1
08049,2007,1
08049,2009,1
08049,2010,1
08049,2011,5
08049,2012,5
08049,2013,4
08049,2014,3
08049,2015,3
08049,2016,3
08049,2017,3
