2018,2019,2020,2021,2022,2023,zipcode
13092.0,14361.0,14398.0,15292.0,17526.0,18571.0,601
16358.0,16807.0,16771.0,18716.0,20260.0,21702.0,602
16603.0,16049.0,15786.0,16789.0,17703.0,19243.0,603
12832.0,12119.0,14980.0,18835.0,19603.0,20226.0,606
19309.0,19898.0,20167.0,21239.0,22796.0,23732.0,610
N/A,N/A,N/A,17143.0,22525.0,22566.0,611
18171.0,18741.0,19402.0,19934.0,22305.0,23831.0,612
16018.0,17007.0,18903.0,19130.0,23652.0,21391.0,616
16735.0,16984.0,17702.0,19048.0,20328.0,22010.0,617
15206.0,14615.0,15640.0,17728.0,22818.0,26682.0,622
16280.0,17130.0,17699.0,18690.0,23132.0,25614.0,623
17578.0,16701.0,17161.0,18136.0,20101.0,21091.0,624
16831.0,17000.0,18571.0,19745.0,23263.0,26094.0,627
9681.0,10244.0,11476.0,15234.0,15658.0,18295.0,631
16887.0,17405.0,18430.0,19042.0,20568.0,20665.0,637
14916.0,16843.0,17634.0,18968.0,19796.0,20878.0,638
16795.0,15792.0,15402.0,16233.0,17673.0,17839.0,641
29320.0,30573.0,29757.0,29568.0,31330.0,33184.0,646
13674.0,14223.0,13996.0,14430.0,17143.0,20357.0,647
19631.0,19764.0,19368.0,20362.0,20363.0,19811.0,650
21650.0,21987.0,22771.0,23813.0,26148.0,31653.0,652
12915.0,12072.0,10977.0,11788.0,13777.0,15225.0,653
16902.0,17355.0,17865.0,19054.0,21456.0,21511.0,656
17201.0,17715.0,18998.0,20694.0,23899.0,27297.0,659
19394.0,19030.0,19848.0,20770.0,22556.0,24829.0,660
17180.0,16834.0,17216.0,17375.0,20283.0,20673.0,662
15253.0,14595.0,15740.0,16389.0,17966.0,18065.0,664
13766.0,14013.0,14472.0,15426.0,16889.0,18729.0,667
14816.0,16922.0,17199.0,17589.0,18838.0,19198.0,669
13427.0,14245.0,14712.0,15516.0,16644.0,16278.0,670
19211.0,18299.0,18790.0,19103.0,20088.0,20039.0,674
14146.0,14992.0,16014.0,17423.0,20160.0,21230.0,676
21673.0,19943.0,20027.0,24325.0,26404.0,24746.0,677
16200.0,17144.0,17204.0,18269.0,19558.0,22994.0,678
13911.0,14217.0,14825.0,15340.0,16535.0,17857.0,680
15029.0,14706.0,14841.0,15678.0,17385.0,18067.0,682
15523.0,16332.0,16441.0,16764.0,18132.0,18231.0,683
14617.0,15185.0,15861.0,16785.0,17481.0,17909.0,685
20589.0,20941.0,21191.0,21598.0,22282.0,23010.0,687
17231.0,17874.0,17305.0,16181.0,17273.0,18014.0,688
17622.0,18288.0,17246.0,18142.0,23343.0,24386.0,690
19094.0,20585.0,21194.0,22144.0,25289.0,25486.0,692
19119.0,19576.0,19970.0,21647.0,23791.0,24072.0,693
N/A,N/A,N/A,N/A,N/A,15938.0,694
15019.0,14794.0,14811.0,16403.0,19818.0,21921.0,698
17129.0,18846.0,20188.0,22023.0,23045.0,22147.0,703
14293.0,17275.0,16734.0,18917.0,19845.0,23330.0,704
19516.0,20214.0,20271.0,21282.0,22679.0,21806.0,705
19596.0,20760.0,20419.0,21365.0,21765.0,19173.0,707
17095.0,17615.0,16263.0,14933.0,18496.0,18931.0,714
13070.0,12188.0,13288.0,13787.0,16250.0,15743.0,715
18818.0,17969.0,17616.0,19164.0,20184.0,19522.0,716
12251.0,12121.0,11838.0,12228.0,14164.0,13282.0,717
19318.0,19372.0,19220.0,18333.0,20414.0,21481.0,718
19757.0,18922.0,18804.0,19197.0,20533.0,21089.0,719
13408.0,15295.0,16072.0,15485.0,16751.0,19049.0,720
15826.0,16063.0,17197.0,18107.0,20967.0,23599.0,723
20920.0,21350.0,22847.0,24262.0,25786.0,27505.0,725
31401.0,31688.0,30570.0,31204.0,33678.0,33403.0,727
19047.0,19340.0,20131.0,20542.0,21239.0,20351.0,728
20920.0,21469.0,22075.0,24289.0,26978.0,28765.0,729
15431.0,15723.0,16036.0,16734.0,17517.0,18077.0,730
17083.0,15473.0,15781.0,15097.0,16944.0,16917.0,731
19184.0,18395.0,19097.0,20864.0,23125.0,23009.0,735
21000.0,21894.0,22904.0,24099.0,27158.0,28652.0,736
19404.0,19859.0,20808.0,22162.0,24643.0,25365.0,738
20098.0,20065.0,20597.0,23021.0,24887.0,26801.0,739
13136.0,12944.0,9611.0,10984.0,18784.0,23173.0,740
22073.0,22121.0,21506.0,24143.0,23821.0,25827.0,741
22782.0,22960.0,23975.0,23882.0,26189.0,26980.0,745
17567.0,18087.0,17963.0,18458.0,20241.0,20947.0,751
18895.0,19403.0,19408.0,19320.0,19528.0,21193.0,754
17640.0,19827.0,20000.0,20786.0,22764.0,23350.0,757
15271.0,14880.0,14049.0,14942.0,17062.0,17531.0,765
19746.0,19682.0,19170.0,20774.0,22511.0,24906.0,766
15999.0,16295.0,16828.0,17390.0,20126.0,21414.0,767
19928.0,19700.0,18326.0,18994.0,20236.0,20514.0,769
21499.0,21175.0,22097.0,23873.0,23343.0,25662.0,771
15658.0,16107.0,14963.0,16425.0,17209.0,18408.0,772
20829.0,21850.0,21805.0,22216.0,22585.0,23769.0,773
23281.0,22667.0,24886.0,25104.0,25483.0,27614.0,775
19139.0,19830.0,20718.0,22317.0,26052.0,28175.0,777
33763.0,35183.0,35558.0,35690.0,39484.0,39564.0,778
24287.0,21663.0,21724.0,23684.0,26075.0,26483.0,780
12492.0,13683.0,14152.0,14978.0,16221.0,17090.0,782
14748.0,14995.0,16815.0,19192.0,21701.0,24429.0,783
16680.0,17415.0,17317.0,17821.0,19199.0,20347.0,784
N/A,37552.0,38798.0,N/A,N/A,N/A,786
