year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2018,85001,N/A,57.67,N/A,N/A
2019,85001,N/A,56.76,N/A,N/A
2020,85001,N/A,51.71,N/A,N/A
2021,85001,N/A,56.86,N/A,N/A
2022,85001,N/A,53.64,N/A,N/A
2023,85001,N/A,48.42,N/A,N/A
2018,85002,N/A,57.67,N/A,N/A
2019,85002,N/A,56.76,N/A,N/A
2020,85002,N/A,51.71,N/A,N/A
2021,85002,N/A,56.86,N/A,N/A
2022,85002,N/A,53.64,N/A,N/A
2023,85002,N/A,48.42,N/A,N/A
2018,85003,42936.0,57.67,N/A,366597.03
2019,85003,44140.0,56.76,N/A,379511.1
2020,85003,48306.0,51.71,N/A,413570.8
2021,85003,47813.0,56.86,N/A,495543.94
2022,85003,49607.0,53.64,N/A,587222.98
2023,85003,56672.0,48.42,N/A,571960.71
2018,85004,35739.0,57.67,N/A,277766.83
2019,85004,41951.0,56.76,N/A,285722.49
2020,85004,52000.0,51.71,N/A,309030.33
2021,85004,59913.0,56.86,N/A,362128.23
2022,85004,67727.0,53.64,N/A,434939.26
2023,85004,71250.0,48.42,N/A,430083.7
2018,85005,N/A,57.67,N/A,N/A
2019,85005,N/A,56.76,N/A,N/A
2020,85005,N/A,51.71,N/A,N/A
2021,85005,N/A,56.86,N/A,N/A
2022,85005,N/A,53.64,N/A,N/A
2023,85005,N/A,48.42,N/A,N/A
2018,85006,35597.0,57.67,N/A,244442.4
2019,85006,38121.0,56.76,N/A,265788.77
2020,85006,43567.0,51.71,N/A,306259.14
2021,85006,46963.0,56.86,N/A,373726.2
2022,85006,54073.0,53.64,N/A,437543.06
2023,85006,60742.0,48.42,N/A,418570.19
2018,85007,32964.0,57.67,N/A,245212.33
2019,85007,34667.0,56.76,N/A,262823.23
2020,85007,35642.0,51.71,N/A,300810.94
2021,85007,43716.0,56.86,N/A,360018.18
2022,85007,50490.0,53.64,N/A,424569.05
2023,85007,55833.0,48.42,N/A,414820.36
2018,85008,39996.0,57.67,N/A,218217.95
2019,85008,43574.0,56.76,N/A,239783.01
2020,85008,46724.0,51.71,N/A,270791.26
2021,85008,51351.0,56.86,N/A,332721.34
2022,85008,57728.0,53.64,N/A,397144.07
2023,85008,61369.0,48.42,N/A,378218.2
2018,85009,30760.0,57.67,N/A,151850.85
2019,85009,32893.0,56.76,N/A,173124.06
2020,85009,38228.0,51.71,N/A,206578.92
2021,85009,41013.0,56.86,N/A,253357.69
2022,85009,46707.0,53.64,N/A,305470.51
2023,85009,51615.0,48.42,N/A,294484.24
2018,85010,N/A,57.67,N/A,N/A
2019,85010,N/A,56.76,N/A,N/A
2020,85010,N/A,51.71,N/A,N/A
2021,85010,N/A,56.86,N/A,N/A
2022,85010,N/A,53.64,N/A,N/A
2023,85010,N/A,48.42,N/A,N/A
2018,85011,N/A,57.67,N/A,N/A
2019,85011,N/A,56.76,N/A,N/A
2020,85011,N/A,51.71,N/A,N/A
2021,85011,N/A,56.86,N/A,N/A
2022,85011,N/A,53.64,N/A,N/A
2023,85011,N/A,48.42,N/A,N/A
2018,85012,67230.0,57.67,N/A,402261.05
2019,85012,70228.0,56.76,N/A,419178.99
